sample	group
U240518002F0	bk
U240518002M0	bk
U240518004F0	bk
U240518004M0	bk
U240520002F0	bk
U240520002M0	bk
U240520020F0	bk
U240520020M0	bk
U240528001F0	bk
U240528001M0	bk
U240529002F0	bk
U240529002M0	bk
U240529003F0	bk
U240529003M0	bk
U24061201F0	bk
U24061201M0	bk
U24061901F0	bk
U24061901M0	bk
U24061902F0	bk
U24061902M0	bk
U24061903F0	bk
U24061903M0	bk
U240724001F0	bk
U240724001M0	bk
U240725001F0	bk
U240725001M0	bk
U240801001F0	bk
U240801001M0	bk
U240803002F0	bk
U240803002M0	bk
